Date,Set,Order,Age,Complete,SUhour,SUmin,SUsec,SUtimehr,SUagehr,Clutch,Tray,ESU,ProblemE,AudacityAmp,Amp,EP5,HSUnotes,PBKhour,PBKmin,PBKsec,PBKtimehr,PBKtimemin,PBKage,FirstHhour,FirstHmin,FirstHsec,FirstHtimehr,FirstHtimemin,LtoH,EPPBK,EP3m,PropH,NumHat,DorsalIMG1,DorsalIMG2,DorsalIMG3
20160621,1,1,5,Y,14,59,0,14.98333333,134.9833333,C447,2,12,NA,0.25,1,7,NA,15,4,22,15.07277778,904.3666667,135.0727778,15,5,1,15.08361111,905.0166667,0.65,2,2,0.714285714,5,5886,5888,5889
20160621,1,2,5,Y,15,15,46,15.26277778,135.2627778,C447,1,14,NA,0.12,,11,NA,15,20,54,15.34833333,920.9,135.3483333,15,22,4,15.36777778,922.0666667,1.166666667,5,4,0.636363636,7,5890,5891,5893
20160621,1,3,5,Y,15,31,5,15.51805556,135.5180556,C447,3,14,NA,0.05,,11,NA,15,36,42,15.61166667,936.7,135.6116667,15,38,17,15.63805556,938.2833333,1.583333333,6,6,0.454545455,5,5894,5896,5898
20160621,1,4,5,Y,15,47,28,15.79111111,135.7911111,C448,1,13,NA,0.02,,7,NA,15,52,30,15.875,952.5,135.875,15,55,11,15.91972222,955.1833333,2.683333333,5,5,0.285714286,2,5901,5903,5905
20160621,1,5,5,Y,17,12,10,17.20277778,137.2027778,C450,1,12,NA,0.01,,10,NA,17,17,20,17.28888889,1037.333333,137.2888889,17,18,25,17.30694444,1038.416667,1.083333333,8,8,0.2,2,5927,5928,5929
20160621,2,6,5,Y,16,2,45,16.04583333,136.0458333,C448,2,15,NA,0.25,1,15,NA,16,9,21,16.15583333,969.35,136.1558333,16,10,28,16.17444444,970.4666667,1.116666667,11,10,0.333333333,5,5906,5908,5910
20160721,2,7,5,Y,16,21,53,16.36472222,136.3647222,C452,2,15,NA,0.12,,9,NA,16,27,34,16.45944444,987.5666667,136.4594444,16,28,13,16.47027778,988.2166667,0.65,4,4,0.555555556,5,5912,5916,5917
20160721,2,8,5,Y,16,37,40,16.62777778,136.6277778,C452,1,15,NA,0.05,,13,NA,16,42,42,16.71166667,1002.7,136.7116667,16,46,7,16.76861111,1006.116667,3.416666667,12,12,0.076923077,1,5918,5919,5921
20160721,2,9,5,Y,16,54,0,16.9,136.9,C449,1,12,NA,0.02,,7,NA,16,59,0,16.98333333,1019,136.9833333,17,1,36,17.02666667,1021.6,2.6,6,6,0.142857143,1,5923,5925,5926
20160721,2,10,5,Y,18,35,2,18.58388889,138.5838889,C443,2,12,NA,0.01,,11,NA,18,40,8,18.66888889,1120.133333,138.6688889,NA,NA,NA,NA,NA,NA,11,11,0,0,5950-1,5957,5958
20160721,3,11,5,Y,17,28,22,17.47277778,137.4727778,C451,2,13,NA,0.25,1,9,NA,17,33,3,17.55083333,1053.05,137.5508333,17,34,2,17.56722222,1054.033333,0.983333333,2,2,0.777777778,7,5930-31,5932,5933
20160721,3,12,5,Y,17,43,25,17.72361111,137.7236111,C450,2,15,NA,0.12,,11,NA,17,48,28,17.80777778,1068.466667,137.8077778,17,51,10,17.85277778,1071.166667,2.7,10,9,0.181818182,2,5934,5935,5936
20160721,3,13,5,Y,18,17,10,18.28611111,138.2861111,C453,1,12,NA,0.02,,15,NA,18,22,12,18.37,1102.2,138.37,NA,NA,NA,NA,NA,NA,15,14,0.066666667,1,5946,5947,5948
20160721,3,14,5,Y,18,50,50,18.84722222,138.8472222,C451,1,12,NA,0.01,,11,NA,18,57,0,18.95,1137,138.95,18,58,57,18.9825,1138.95,1.95,10,9,0.181818182,2,5960,5961,5962
20160721,3,15,5,Y,18,1,18,18.02166667,138.0216667,C456,1,14,NA,0.05,,12,NA,18,6,34,18.10944444,1086.566667,138.1094444,18,7,23,18.12305556,1087.383333,0.816666667,11,10,0.166666667,2,5938,5939-40,5943
20160721,4,16,5,Y,19,7,25,19.12361111,139.1236111,C455,1,12,NA,0.05,,12,NA,19,12,30,19.20833333,1152.5,139.2083333,19,14,44,19.24555556,1154.733333,2.233333333,9,9,0.25,3,5963,5964,5965
20160721,4,17,5,Y,19,23,45,19.39583333,139.3958333,C444,2,11,NA,0.01,,11,NA,19,29,19,19.48861111,1169.316667,139.4886111,NA,NA,NA,NA,NA,NA,11,11,0,0,5966,5968,5969
20160721,4,18,5,Y,19,43,43,19.72861111,139.7286111,C454,1,8,NA,0.12,,8,NA,19,49,45,19.82916667,1189.75,139.8291667,19,51,32,19.85888889,1191.533333,1.783333333,7,7,0.125,1,5971,5973,5974
20160721,4,19,5,Y,20,6,12,20.10333333,140.1033333,C444,1,13,NA,0.25,,13,NA,20,12,15,20.20416667,1212.25,140.2041667,20,13,45,20.22916667,1213.75,1.5,11,11,0.153846154,2,5975,5976,5977
20160721,5,20,5,N,20,25,5,20.41805556,140.4180556,C455,2,12,NA,0.12,,12,NA,20,30,20,20.50555556,1230.333333,140.5055556,20,32,9,20.53583333,1232.15,1.816666667,8,7,0.416666667,5,5978,5981,5982
20160721,5,21,5,N,20,42,1,20.70027778,140.7002778,C443,1,10,NA,0.05,,8,NA,20,47,5,20.78472222,1247.083333,140.7847222,20,53,2,20.88388889,1253.033333,5.95,7,7,0.125,1,5983,5984,5987
20160721,5,22,5,N,21,0,19,21.00527778,141.0052778,C445,1,9,NA,0.01,,9,NA,21,7,5,21.11805556,1267.083333,141.1180556,21,10,45,21.17916667,1270.75,3.666666667,6,6,0.333333333,3,5988,5989,5990
20160731,16,23,5,N,15,20,25,15.34027778,135.3402778,C512,2,15,NA,0.25,,13,NA,15,26,0,15.43333333,926,135.4333333,15,26,20,15.43888889,926.3333333,0.333333333,7,7,0.461538462,6,6210,6211,6212
